,YEAR,WEEK,RANK,PLAYER,ATT,RUSH YDS,Y/A,LG,20+,RUSH TD,REC,TGT,REC YDS,Y/R,REC TD,FL,G,Zero PPR,Half PPR,One PPR,Unnamed: 20
305,2022,3,1,Khalil Herbert (CHI) ,20,99,7.9,52,4,2,2,2,12,6,0,0,1,28.9,29.9,30.9,0
530,2021,1,65,Giovani Bernard (TB) ,0,0,0,0,0,0,2,3,12,6,0,0,1,1.2,2.2,3.2,0
1587,2020,2,77,Darrel Williams (ARI) ,0,0,0,0,0,0,1,1,12,12,0,0,1,1.2,1.7,2.2,0
708,2021,4,61,Ty Johnson (NYJ) ,3,1,0.3,2,0,0,2,2,12,6,0,0,1,1.3,2.3,3.3,0
709,2021,4,62,Salvon Ahmed (MIA) ,3,1,0.3,4,0,0,2,2,12,6,0,0,1,1.3,2.3,3.3,0
1205,2021,13,58,Eno Benjamin (ARI) ,2,1,0.5,1,0,0,1,1,12,12,0,0,1,1.3,1.8,2.3,0
1151,2021,12,64,Samaje Perine (CIN) ,3,3,1,4,0,0,1,1,12,12,0,0,1,1.5,2,2.5,0
2224,2020,14,67,Brian Hill (FA) ,1,3,3,3,0,0,1,1,12,12,0,0,1,1.5,2,2.5,0
1697,2020,4,55,Justin Jackson (DET) ,6,9,1.5,3,0,0,2,2,12,6,0,0,1,2.1,3.1,4.1,0
1354,2021,16,56,Latavius Murray (DEN) ,5,12,2.4,6,0,0,1,1,12,12,0,0,1,2.4,2.9,3.4,0
685,2021,4,30,Mike Davis (BAL) ,13,14,1.1,8,0,0,2,2,12,6,1,0,1,8.6,9.6,10.6,0
1452,2021,18,59,Devontae Booker (FA) ,8,14,1.8,6,0,0,2,2,12,6,0,0,1,2.6,3.6,4.6,0
2215,2020,14,50,Todd Gurley II (FA) ,6,19,3.2,8,0,0,2,3,12,6,0,0,1,3.1,4.1,5.1,0
206,2022,5,16,Michael Carter (NYJ) ,10,21,2.1,8,0,2,2,2,12,6,0,0,1,15.3,16.3,17.3,0
1197,2021,13,42,Zack Moss (IND) ,8,21,2.6,4,0,0,2,3,12,6,0,0,1,3.3,4.3,5.3,0
581,2021,2,48,Jamaal Williams (DET) ,7,25,3.6,8,0,0,3,3,12,4,0,0,1,3.7,5.2,6.7,0
1633,2020,3,48,Melvin Gordon III (DEN) ,8,26,3.3,9,0,0,4,6,12,3,0,0,1,3.8,5.8,7.8,0
230,2022,5,49,James Robinson (NYJ) ,10,27,2.7,9,0,0,2,2,12,6,0,0,1,3.9,4.9,5.9,0
288,2022,4,48,Darrell Henderson Jr. (LAR) ,7,27,3.9,7,0,0,3,4,12,4,0,0,1,3.9,5.4,6.9,0
1953,2020,9,53,David Montgomery (CHI) ,14,30,2.1,5,0,0,3,3,12,4,0,1,1,2.2,3.7,5.2,0
1997,2020,10,38,Mike Davis (BAL) ,7,32,4.6,7,0,0,4,5,12,3,0,0,1,4.4,6.4,8.4,0
1291,2021,15,44,Peyton Barber (FA) ,5,34,6.8,19,0,0,1,1,12,12,0,0,1,4.6,5.1,5.6,0
1375,2021,17,13,Damien Harris (NE) ,9,35,3.9,7,0,2,1,1,12,12,0,0,1,16.7,17.2,17.7,0
1993,2020,10,34,James Conner (ARI) ,13,36,2.8,16,0,0,2,2,12,6,0,0,1,4.8,5.8,6.8,0
1117,2021,12,17,Damien Harris (NE) ,11,40,3.6,14,0,1,1,1,12,12,0,0,1,11.2,11.7,12.2,0
797,2021,6,21,Latavius Murray (DEN) ,9,44,4.9,14,0,1,2,2,12,6,0,0,1,11.6,12.6,13.6,0
1325,2021,16,18,Jeff Wilson Jr. (MIA) ,14,45,3.2,9,0,1,3,3,12,4,0,0,1,11.7,13.2,14.7,0
2146,2020,13,32,Jeff Wilson Jr. (MIA) ,7,47,6.7,18,0,0,2,5,12,6,0,0,1,5.9,6.9,7.9,0
567,2021,2,31,Saquon Barkley (NYG) ,13,57,4.4,41,3,0,2,3,12,6,0,0,1,6.9,7.9,8.9,0
1767,2020,6,8,David Johnson (FA) ,19,57,3,11,0,1,1,2,12,12,0,0,1,12.9,13.4,13.9,0
1266,2021,15,11,Aaron Jones (GB) ,13,58,4.5,11,0,0,2,2,12,6,1,0,1,13,14,15,0
1836,2020,7,28,Damien Harris (NE) ,10,58,5.8,12,0,0,1,1,12,12,0,0,1,7,7.5,8,0
728,2021,5,12,Antonio Gibson (WAS) ,20,60,3,16,0,2,2,2,12,6,0,0,1,19.2,20.2,21.2,0
338,2022,3,36,Alvin Kamara (NO) ,15,61,4.1,27,1,0,2,7,12,6,0,1,1,5.3,6.3,7.3,0
674,2021,4,17,Antonio Gibson (WAS) ,14,63,4.5,8,0,1,2,2,12,6,0,0,1,13.5,14.5,15.5,0
1620,2020,3,28,Chris Carson (FA) ,14,64,4.6,23,1,0,3,3,12,4,0,0,1,7.6,9.1,10.6,0
802,2021,6,26,Kareem Hunt (CLE) ,14,66,4.7,17,0,0,3,3,12,4,0,0,1,7.8,9.3,10.8,0
629,2021,3,30,Sony Michel (LAC) ,20,67,3.4,15,0,0,3,4,12,4,0,0,1,7.9,9.4,10.9,0
1830,2020,7,20,Melvin Gordon III (DEN) ,17,68,4,11,0,1,2,4,12,6,0,2,1,10,11,12,0
275,2022,4,29,Raheem Mostert (MIA) ,15,69,4.6,25,1,0,2,3,12,6,0,0,1,8.1,9.1,10.1,0
382,2022,2,22,Josh Jacobs (LV) ,19,69,3.6,13,0,0,1,1,12,12,0,0,1,8.1,8.6,9.1,0
1624,2020,3,33,Josh Jacobs (LV) ,16,71,4.4,13,0,0,3,4,12,4,0,1,1,6.3,7.8,9.3,0
2301,2020,16,10,Dalvin Cook (MIN) ,15,73,4.9,15,0,1,2,2,12,6,0,0,1,14.5,15.5,16.5,0
2085,2020,12,22,Frank Gore (FA) ,18,74,4.1,17,0,0,3,3,12,4,0,0,1,8.6,10.1,11.6,0
2354,2020,17,7,Jeff Wilson Jr. (MIA) ,20,76,3.8,18,0,1,3,7,12,4,1,0,1,20.8,22.3,23.8,0
148,2022,6,8,Saquon Barkley (NYG) ,22,83,3.8,8,0,1,3,3,12,4,0,0,1,15.5,17,18.5,0
2244,2020,15,14,Jonathan Taylor (IND) ,16,83,5.2,14,0,1,4,5,12,3,0,0,1,15.5,17.5,19.5,0
1614,2020,3,22,Miles Sanders (PHI) ,18,95,5.3,19,0,0,4,8,12,3,0,0,1,10.7,12.7,14.7,0
946,2021,9,12,Dalvin Cook (MIN) ,17,110,6.5,66,5,0,3,3,12,4,0,0,1,12.2,13.7,15.2,0
198,2022,5,8,Jeff Wilson Jr. (MIA) ,17,120,7.1,41,4,1,1,2,12,12,0,0,1,19.2,19.7,20.2,0
778,2021,6,1,Derrick Henry (TEN) ,20,113,7.2,76,4,3,2,3,13,6.5,0,0,1,33.6,34.6,35.6,0
779,2021,6,2,Jonathan Taylor (IND) ,14,111,10.4,83,4,2,1,2,13,13,0,0,1,27.8,28.3,28.8,0
2235,2020,15,5,Aaron Jones (GB) ,20,111,7.3,46,3,1,3,4,13,4.3,0,0,1,21.8,23.3,24.8,0
1409,2021,17,66,Alexander Mattison (MIN) ,0,0,0,0,0,0,4,5,13,3.3,0,0,1,1.3,3.3,5.3,0
770,2021,5,66,Jerick McKinnon (KC) ,1,2,2,2,0,0,2,2,13,6.5,0,0,1,1.5,2.5,3.5,0
1249,2021,14,49,Kareem Hunt (CLE) ,2,5,2.5,3,0,0,2,2,13,6.5,0,0,1,1.8,2.8,3.8,0
1698,2020,4,57,Jeff Wilson Jr. (MIA) ,3,6,2,3,0,0,1,1,13,13,0,0,1,1.9,2.4,2.9,0
1248,2021,14,48,Peyton Barber (FA) ,1,7,7,7,0,0,2,3,13,6.5,0,0,1,2,3,4,0
2391,2020,17,58,Zack Moss (IND) ,3,8,2.7,4,0,0,1,1,13,13,0,0,1,2.1,2.6,3.1,0
525,2021,1,56,Aaron Jones (GB) ,5,9,1.8,3,0,0,2,2,13,6.5,0,0,1,2.2,3.2,4.2,0
1696,2020,4,54,Brian Hill (FA) ,4,10,2.5,6,0,0,2,2,13,6.5,0,0,1,2.3,3.3,4.3,0
1353,2021,16,54,Zack Moss (IND) ,3,12,4,6,0,0,1,1,13,13,0,0,1,2.5,3,3.5,0
240,2022,5,62,Matt Breida (NYG) ,4,14,3.5,10,0,0,2,2,13,6.5,0,0,1,2.7,3.7,4.7,0
1156,2021,12,72,Alex Collins (FA) ,7,14,2,7,0,0,1,1,13,13,0,1,1,0.7,1.2,1.7,0
177,2022,6,42,Malcolm Brown (LAR) ,7,15,2.1,10,0,0,1,1,13,13,0,0,1,2.8,3.3,3.8,0
239,2022,5,60,Rex Burkhead (HOU) ,3,15,5,9,0,0,2,3,13,6.5,0,0,1,2.8,3.8,4.8,0
1779,2020,6,20,Giovani Bernard (TB) ,8,15,1.9,9,0,1,3,3,13,4.3,0,0,1,8.8,10.3,11.8,0
